sku_id,fecha,unidades_vendidas
SKU-005,2021-02-01,174
SKU-005,2021-03-01,167
SKU-005,2021-04-01,197
SKU-005,2021-05-01,197
SKU-005,2021-06-01,194
SKU-005,2021-07-01,183
SKU-005,2021-08-01,194
SKU-005,2021-09-01,180
SKU-005,2021-10-01,182
SKU-005,2021-11-01,169
SKU-005,2021-12-01,184
SKU-005,2022-01-01,181
SKU-005,2022-02-01,167
SKU-005,2022-03-01,179
SKU-005,2022-04-01,179
SKU-005,2022-05-01,198
SKU-005,2022-06-01,189
SKU-005,2022-07-01,180
SKU-005,2022-08-01,182
SKU-005,2022-09-01,180
SKU-005,2022-10-01,178
SKU-005,2022-11-01,169
SKU-005,2022-12-01,178
SKU-005,2023-01-01,173
SKU-005,2023-02-01,167
SKU-005,2023-03-01,185
SKU-005,2023-04-01,184
SKU-005,2023-05-01,162
SKU-005,2023-06-01,179
SKU-005,2023-07-01,190
SKU-005,2023-08-01,191
SKU-005,2023-09-01,190
SKU-005,2023-10-01,180
SKU-005,2023-11-01,172
SKU-005,2023-12-01,169
SKU-005,2024-01-01,183
SKU-005,2024-02-01,184
SKU-005,2024-03-01,193
SKU-005,2024-04-01,191
SKU-005,2024-05-01,179
SKU-005,2024-06-01,168
SKU-005,2024-07-01,2
SKU-005,2024-08-01,7
SKU-005,2024-09-01,3
SKU-005,2024-10-01,0
SKU-005,2024-11-01,8
SKU-005,2024-12-01,0
SKU-005,2025-01-01,0
SKU-005,2025-02-01,8
SKU-005,2025-03-01,1
SKU-005,2025-04-01,7
SKU-005,2025-05-01,8
SKU-005,2025-06-01,0
SKU-005,2025-07-01,0
SKU-005,2025-08-01,19
SKU-005,2025-09-01,0
SKU-005,2025-10-01,0
SKU-005,2025-11-01,0
SKU-005,2025-12-01,5
